[Sun Jan 08 17:56:26.560566 2023] [:error] [pid 2281] [client 172.18.0.1:61578] PHP Notice:  Undefined index: callback in /var/www/html/php/api/index.php on line 28, referer: http://localhost:3000/
[Sun Jan 08 17:56:26.569914 2023] [:error] [pid 2281] [client 172.18.0.1:61578] PHP Notice:  Undefined index: query in /var/www/html/php/api/index.php on line 16, referer: http://localhost:3000/
[Sun Jan 08 17:56:26.570537 2023] [:error] [pid 2281] [client 172.18.0.1:61578] PHP Notice:  Undefined index: callback in /var/www/html/php/api/index.php on line 28, referer: http://localhost:3000/
[Sun Jan 08 17:56:26.582981 2023] [:error] [pid 2281] [client 172.18.0.1:61578] PHP Notice:  Undefined index: query in /var/www/html/php/api/index.php on line 16, referer: http://localhost:3000/
[Sun Jan 08 17:56:26.584017 2023] [:error] [pid 2281] [client 172.18.0.1:61578] PHP Notice:  Undefined index: callback in /var/www/html/php/api/index.php on line 28, referer: http://localhost:3000/
[Sun Jan 08 17:56:26.595698 2023] [:error] [pid 2281] [client 172.18.0.1:61578] PHP Notice:  Undefined index: query in /var/www/html/php/api/index.php on line 16, referer: http://localhost:3000/
[Sun Jan 08 17:56:26.596228 2023] [:error] [pid 2281] [client 172.18.0.1:61578] PHP Notice:  Undefined index: callback in /var/www/html/php/api/index.php on line 28, referer: http://localhost:3000/
[Sun Jan 08 17:56:26.605476 2023] [:error] [pid 2281] [client 172.18.0.1:61578] PHP Notice:  Undefined index: query in /var/www/html/php/api/index.php on line 16, referer: http://localhost:3000/
[Sun Jan 08 17:56:26.605985 2023] [:error] [pid 2281] [client 172.18.0.1:61578] PHP Notice:  Undefined index: callback in /var/www/html/php/api/index.php on line 28, referer: http://localhost:3000/
[Sun Jan 08 17:56:26.615859 2023] [:error] [pid 2281] [client 172.18.0.1:61578] PHP Notice:  Undefined index: query in /var/www/html/php/api/index.php on line 16, referer: http://localhost:3000/
[Sun Jan 08 17:56:26.616224 2023] [:error] [pid 2281] [client 172.18.0.1:61578] PHP Notice:  Undefined index: callback in /var/www/html/php/api/index.php on line 28, referer: http://localhost:3000/
[Sun Jan 08 17:56:26.625233 2023] [:error] [pid 2281] [client 172.18.0.1:61578] PHP Notice:  Undefined index: query in /var/www/html/php/api/index.php on line 16, referer: http://localhost:3000/
[Sun Jan 08 17:56:26.625697 2023] [:error] [pid 2281] [client 172.18.0.1:61578] PHP Notice:  Undefined index: callback in /var/www/html/php/api/index.php on line 28, referer: http://localhost:3000/
[Sun Jan 08 17:56:26.634254 2023] [:error] [pid 2281] [client 172.18.0.1:61578] PHP Notice:  Undefined index: query in /var/www/html/php/api/index.php on line 16, referer: http://localhost:3000/
[Sun Jan 08 17:56:26.634745 2023] [:error] [pid 2281] [client 172.18.0.1:61578] PHP Notice:  Undefined index: callback in /var/www/html/php/api/index.php on line 28, referer: http://localhost:3000/
[Sun Jan 08 17:56:26.643167 2023] [:error] [pid 2281] [client 172.18.0.1:61578] PHP Notice:  Undefined index: query in /var/www/html/php/api/index.php on line 16, referer: http://localhost:3000/
[Sun Jan 08 17:56:26.643772 2023] [:error] [pid 2281] [client 172.18.0.1:61578] PHP Notice:  Undefined index: callback in /var/www/html/php/api/index.php on line 28, referer: http://localhost:3000/
[Sun Jan 08 17:56:26.652999 2023] [:error] [pid 2281] [client 172.18.0.1:61578] PHP Notice:  Undefined index: query in /var/www/html/php/api/index.php on line 16, referer: http://localhost:3000/
[Sun Jan 08 17:56:26.653446 2023] [:error] [pid 2281] [client 172.18.0.1:61578] PHP Notice:  Undefined index: callback in /var/www/html/php/api/index.php on line 28, referer: http://localhost:3000/
[Sun Jan 08 17:56:26.662947 2023] [:error] [pid 2281] [client 172.18.0.1:61578] PHP Notice:  Undefined index: query in /var/www/html/php/api/index.php on line 16, referer: http://localhost:3000/
[Sun Jan 08 17:56:26.663661 2023] [:error] [pid 2281] [client 172.18.0.1:61578] PHP Notice:  Undefined index: callback in /var/www/html/php/api/index.php on line 28, referer: http://localhost:3000/
[Sun Jan 08 17:56:26.673350 2023] [:error] [pid 2281] [client 172.18.0.1:61578] PHP Notice:  Undefined index: query in /var/www/html/php/api/index.php on line 16, referer: http://localhost:3000/
[Sun Jan 08 17:56:26.674078 2023] [:error] [pid 2281] [client 172.18.0.1:61578] PHP Notice:  Undefined index: callback in /var/www/html/php/api/index.php on line 28, referer: http://localhost:3000/
[Sun Jan 08 17:56:26.689458 2023] [:error] [pid 2281] [client 172.18.0.1:61578] PHP Notice:  Undefined index: query in /var/www/html/php/api/index.php on line 16, referer: http://localhost:3000/
[Sun Jan 08 17:56:26.690023 2023] [:error] [pid 2281] [client 172.18.0.1:61578] PHP Notice:  Undefined index: callback in /var/www/html/php/api/index.php on line 28, referer: http://localhost:3000/
[Sun Jan 08 17:56:26.701875 2023] [:error] [pid 2281] [client 172.18.0.1:61578] PHP Notice:  Undefined index: query in /var/www/html/php/api/index.php on line 16, referer: http://localhost:3000/
[Sun Jan 08 17:56:26.702283 2023] [:error] [pid 2281] [client 172.18.0.1:61578] PHP Notice:  Undefined index: callback in /var/www/html/php/api/index.php on line 28, referer: http://localhost:3000/
[Sun Jan 08 17:56:26.711814 2023] [:error] [pid 2281] [client 172.18.0.1:61578] PHP Notice:  Undefined index: query in /var/www/html/php/api/index.php on line 16, referer: http://localhost:3000/
